"Timestamp" "fluiten" "frequentie" "assertief" "sekse" "leeftijd"
"18/10/2019 11:48:37" "0" 0 4 "1" 23
"18/10/2019 11:48:38" "0" 5 3 "2" 20
"18/10/2019 11:48:39" "0" 0 3 "2" 26
"18/10/2019 11:48:39" "0" 1 3 "2" 20
"18/10/2019 11:48:40" "0" 1 2 "2" 26
"18/10/2019 11:48:40" "1" 0 4 "2" 20
"18/10/2019 11:48:41" "0" 10 5 "2" 21
"18/10/2019 11:48:41" "1" 0 3 "2" 22
"18/10/2019 11:48:44" "0" 4 3 "1" 20
"18/10/2019 11:48:44" "0" 1e+06 5 "2" 20
"18/10/2019 11:48:44" "0" 15 3 "2" 19
"18/10/2019 11:48:45" "0" 6 3 "2" 20
"18/10/2019 11:48:45" "1" 0 3 "1" 22
"18/10/2019 11:48:46" "0" 15 3 "2" 20
"18/10/2019 11:48:46" "0" 2 4 "2" 20
"18/10/2019 11:48:48" "0" 9 2 "2" 19
"18/10/2019 11:48:48" "0" 1 4 "2" 19
"18/10/2019 11:48:49" "0" 10 4 "1" 19
"18/10/2019 11:48:52" "0" 1 3 "2" 19
"18/10/2019 11:48:52" "0" 0 3 "2" 22
"18/10/2019 11:48:52" "1" 0 4 "2" 20
"18/10/2019 11:48:53" "0" 8 5 "1" 22
"18/10/2019 11:48:56" "0" 24 4 "2" 20
"18/10/2019 11:48:56" "0" 4 5 "2" 20
"18/10/2019 11:48:57" "0" 3 3 "2" 20
"18/10/2019 11:49:03" "0" 2 2 "2" 20
"18/10/2019 11:49:04" "0" 3 4 "2" 20
"18/10/2019 11:49:04" "1" 0 2 "1" 23
"18/10/2019 11:49:04" "0" 15 3 "2" 19
"18/10/2019 11:49:05" "0" 3 2 "2" 20
"18/10/2019 11:49:05" "0" 31 5 "1" 22
"18/10/2019 11:49:10" "1" 0 4 "1" 22
"18/10/2019 11:49:11" "0" 60 5 "2" 20
"18/10/2019 11:49:13" "1" 0 4 "2" 19
"18/10/2019 11:49:14" "0" 25 5 "1" 25
"18/10/2019 11:49:15" "0" 2 4 "2" 27
"18/10/2019 11:49:20" "0" 13 4 "1" 20
"18/10/2019 11:49:22" "0" 4 4 "1" 22
"18/10/2019 11:49:23" "0" 200 4 "1" 22
"18/10/2019 11:49:24" "0" 1 5 "1" 19
"18/10/2019 11:49:25" "1" 0 3 "1" 19
"18/10/2019 11:49:36" "0" 10 4 "2" 2000
"18/10/2019 11:49:38" "0" 2 2 "2" 20
"18/10/2019 11:50:20" "0" 0 3 "1" 21
"18/10/2019 11:50:37" "0" 2 3 "2" 25
"18/10/2019 11:53:04" "1" 0 3 "1" 19
"18/10/2019 12:08:45" "1" 2 4 "2" 21
"18/10/2019 13:59:49" "0" 10 4 "2" 2000
"18/10/2019 15:35:13" "0" 1 3 "2" 20
"18/10/2019 18:11:10" "0" 10 4 "1" 19
"20/10/2019 19:58:03" "1" 0 4 "2" 19
"22/10/2019 01:10:01" "1" 0 5 "1" 171
